"Loop_ID" "CAPSULE_FILE" "DT_dist_THRESHOLD_BL" "MAX_INTERACTION_GAP" "DISAGREEMENT_THRESH" "DT_frame_THRESHOLD" "trim_length_sec" "beta" "classifier" "CSI_pre_classifier" "Fbeta_pre_classifier" "precision_pre_classifier" "sensitivity_pre_classifier" "CSI_training" "Fbeta_training" "precision_training" "sensitivity_training" "CSI_test" "Fbeta_test" "precision_test" "sensitivity_test"
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_all" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.67 0.803 0.785 0.821 0.49 0.657 0.652 0.663
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_sbc" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.223 0.365 0.227 0.925 0.148 0.258 0.151 0.881
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_ros" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.67 0.803 0.785 0.821 0.475 0.644 0.616 0.676
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_rus" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.395 0.567 0.413 0.904 0.298 0.459 0.315 0.849
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_smote" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.67 0.803 0.785 0.821 0.43 0.602 0.495 0.766
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_borderline_smote_type1" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.67 0.803 0.785 0.821 0.451 0.621 0.529 0.752
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_RF_borderline_smote_type2" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.67 0.803 0.785 0.821 0.483 0.651 0.599 0.714
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_SVM_all" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.577 0.732 0.704 0.761 0.441 0.612 0.545 0.698
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_SVM_sbc" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.229 0.373 0.233 0.924 0.151 0.262 0.154 0.88
41001 "CapsuleDef4" 0.003 35 0.5 32 0 1 "fit_SVM_ros" 0.169476575906941 0.289833211538264 0.171918949392885 0.922657342657343 0.57 0.726 0.621 0.874 0.371 0.541 0.432 0.724
