what period treatment true_negatives true_positives false_negatives false_positives CSI Fbeta precision sensitivity
non_training all ll 13914689 10337 3658 2787 0.615957573590752 0.762343744238357 0.787640963121 0.738620936048589
non_training post SP 5833446 9040 3167 2369 0.62019758507135 0.765582655826558 0.792356911210448 0.740558695830261
non_training pre SP 8081243 1297 491 418 0.587941976427924 0.740508135883528 0.756268221574344 0.725391498881432
training_test all ll 26032725 35302 15344 12991 0.554740166884045 0.713611417135811 0.73099621063094 0.697034316629151
training_test post BP 6830569 5959 2597 1588 0.587440851735016 0.740110538408992 0.789585265668478 0.696470313230482
training_test post BS 9911551 8001 5143 2811 0.501472892510185 0.667974620136918 0.740011098779134 0.608718807060256
training_test post SP 4075785 10830 4027 3961 0.575512806887023 0.730572045331894 0.732202014738692 0.728949316820354
training_test post SS 1983449 10512 3518 4301 0.573454803338607 0.728911694345248 0.709646931749139 0.749251603706344
training_test pre SP 3231371 0 59 330 0 0 0 0
training_training all ll 62742836 130727 33127 27849 0.681924643850122 0.810886083801135 0.824380738573302 0.797826113491279
training_training post BP 23367268 23902 6406 3811 0.700548081714001 0.823908584822737 0.862483311081442 0.788636663587172
training_training post BS 23537263 32473 8654 5037 0.703426912745863 0.825896206620293 0.865715809117569 0.78957862231624
training_training post SP 9025118 37605 10039 11227 0.638769513003007 0.779572121563912 0.770089285714286 0.789291411300479
training_training post SS 4195803 36747 7953 7751 0.700596747440468 0.823942240857418 0.825812396062744 0.822080536912752
training_training pre SP 2617384 0 75 23 0 0 0 0
