what period treatment true_negatives true_positives false_negatives false_positives CSI Fbeta precision sensitivity
non_training all ll 13913813 11485 2510 3663 0.650413410352248 0.788182410870535 0.758185899128598 0.820650232225795
non_training post SP 5832517 10188 2019 3298 0.657078361818768 0.793056474526135 0.755450096396263 0.834603096583927
non_training pre SP 8081296 1297 491 365 0.602415234556433 0.751884057971015 0.780385078219013 0.725391498881432
training_test all ll 26031491 37805 12841 14225 0.582771962818517 0.736394094043399 0.726600038439362 0.74645579117798
training_test post BP 6830169 6451 2105 1988 0.611817147192716 0.759164460135334 0.764427064818106 0.753973819541842
training_test post BS 9911190 8390 4754 3172 0.514219171365531 0.679187241965514 0.725653001210863 0.638314059646987
training_test post SP 4076205 11431 3426 3541 0.621317534514621 0.766435348151128 0.763491851456051 0.769401628861816
training_test post SS 1982529 11533 2497 5221 0.599085761778609 0.749285343035343 0.688372925868449 0.822024233784747
training_test pre SP 3231398 0 59 303 0 0 0 0
training_training all ll 62740166 131177 32677 30519 0.674872538881429 0.805879281216403 0.81125692657827 0.800572460849293
training_training post BP 23367061 23734 6574 4018 0.691429237312824 0.817568033069239 0.85521764197175 0.783093572654085
training_training post BS 23537298 32192 8935 5002 0.697869019488825 0.822052833850436 0.865515943431736 0.782746127847886
training_training post SP 9023707 37654 9990 12638 0.624630901429946 0.768951151772586 0.748707547920146 0.790319872386869
training_training post SS 4194747 37597 7103 8807 0.702655727288018 0.825364418686336 0.810210326695974 0.841096196868009
training_training pre SP 2617353 0 75 54 0 0 0 0
