"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"1-A1","1","A5","control.big","untreated forager",1,1,1,3
"1-A10","1","G3","control.big","untreated nurse",1,1,1,3
"1-A11","1","H2","control.big","untreated nurse",1,1,1,3
"1-A12","1","H1","control.big","untreated nurse",1,1,1,3
"1-A2","1","A6","control.big","untreated forager",1,1,1,3
"1-A4","1","A8","control.big","untreated forager",1,1,1,3
"1-A5","1","A9","control.big","untreated forager",1,1,1,3
"1-A6","1","A10","control.big","untreated forager",1,1,1,3
"1-A7","1","A11","control.big","untreated forager",1,1,1,3
"1-A8","1","A12","control.big","untreated nurse",1,1,1,3
"1-A9","1","H4","control.big","untreated nurse",1,1,1,3
"1-B1","1","B5","control.big","untreated forager",1,1,1,3
"1-B10","1","F3","control.big","untreated nurse",1,1,1,3
"1-B11","1","G2","control.big","untreated forager",1,1,1,3
"1-B12","1","G1","control.big","untreated nurse",1,1,1,3
"1-B2","1","B6","control.big","treated nurse",1,1,1,3
"1-B3","1","B7","control.big","untreated forager",1,1,1,3
"1-B4","1","B8","control.big","untreated nurse",1,1,1,3
"1-B5","1","B9","control.big","untreated nurse",1,1,1,3
"1-B6","1","B10","control.big","untreated nurse",1,1,1,3
"1-B7","1","B11","control.big","untreated forager",1,1,1,3
"1-B8","1","B12","control.big","untreated nurse",1,1,1,3
"1-B9","1","F4","control.big","untreated forager",1,1,1,3
"1-C1","1","C5","control.big","untreated forager",1,1,1,3
"1-C10","1","E3","control.big","untreated nurse",1,1,1,3
"1-C11","1","F2","control.big","untreated forager",1,1,1,3
"1-C12","1","F1","control.big","untreated nurse",1,1,1,3
"1-C2","1","C6","control.big","untreated forager",1,1,1,3
"1-C3","1","C7","control.big","untreated forager",1,1,1,3
"1-C4","1","C8","control.big","untreated forager",1,1,1,3
"1-C5","1","C9","control.big","untreated nurse",1,1,1,3
"1-C6","1","C10","control.big","untreated forager",1,1,1,3
"1-C7","1","C11","control.big","untreated nurse",1,1,1,3
"1-C8","1","C12","control.big","untreated nurse",1,1,1,3
"1-C9","1","E4","control.big","untreated forager",1,1,1,3
"1-D1","1","D5","control.big","untreated nurse",1,1,1,3
"1-D10","1","D3","control.big","untreated nurse",1,1,1,3
"1-D11","1","E2","control.big","untreated nurse",1,1,1,3
"1-D12","1","E1","control.big","untreated nurse",1,1,1,3
"1-D2","1","D6","control.big","untreated forager",1,1,1,3
"1-D3","1","D7","control.big","untreated nurse",1,1,1,3
"1-D4","1","D8","control.big","untreated forager",1,1,1,3
"1-D5","1","D9","control.big","untreated nurse",1,1,1,3
"1-D6","1","D10","control.big","untreated forager",1,1,1,3
"1-D7","1","D11","control.big","untreated forager",1,1,1,3
"1-D8","1","D12","control.big","untreated forager",1,1,1,3
"1-D9","1","D4","control.big","untreated nurse",1,1,1,3
"1-E10","1","C4","control.big","untreated nurse",1,1,1,3
"1-E11","1","D2","control.big","untreated nurse",1,1,1,3
"1-E12","1","D1","control.big","untreated nurse",1,1,1,3
"1-E2","1","E6","control.big","untreated nurse",1,1,1,3
"1-E3","1","E7","control.big","untreated forager",1,1,1,3
"1-E4","1","E8","control.big","untreated forager",1,1,1,3
"1-E5","1","E9","control.big","treated nurse",1,1,1,3
"1-E6","1","E10","control.big","treated nurse",1,1,1,3
"1-E7","1","E11","control.big","untreated forager",1,1,1,3
"1-E8","1","E12","control.big","untreated nurse",1,1,1,3
"1-E9","1","B4","control.big","untreated nurse",1,1,1,3
"1-F1","1","F5","control.big","untreated forager",1,1,1,3
"1-F10","1","C3","control.big","untreated nurse",1,1,1,3
"1-F11","1","C2","control.big","untreated nurse",1,1,1,3
"1-F12","1","C1","control.big","untreated nurse",1,1,1,3
"1-F3","1","F7","control.big","untreated forager",1,1,1,3
"1-F4","1","F8","control.big","treated nurse",1,1,1,3
"1-F5","1","F9","control.big","untreated forager",1,1,1,3
"1-F6","1","F10","control.big","untreated nurse",1,1,1,3
"1-F7","1","F11","control.big","untreated forager",1,1,1,3
"1-F8","1","F12","control.big","untreated nurse",1,1,1,3
"1-F9","1","G4","control.big","untreated forager",1,1,1,3
"1-G10","1","B3","control.big","untreated nurse",1,1,1,3
"1-G11","1","B2","control.big","untreated nurse",1,1,1,3
"1-G12","1","B1","control.big","untreated nurse",1,1,1,3
"1-G3","1","G7","control.big","untreated forager",1,1,1,3
"1-G4","1","G8","control.big","untreated nurse",1,1,1,3
"1-G5","1","G9","control.big","untreated nurse",1,1,1,3
"1-G6","1","G10","control.big","untreated forager",1,1,1,3
"1-G7","1","G11","control.big","untreated forager",1,1,1,3
"1-G8","1","G12","control.big","untreated forager",1,1,1,3
"1-G9","1","A4","control.big","untreated nurse",1,1,1,3
"1-H10","1","A3","control.big","untreated nurse",1,1,1,3
"1-H11","1","A2","control.big","treated nurse",1,1,1,3
"1-H12","1","A1","control.big","untreated forager",1,1,1,3
"1-H3","1","H7","control.big","untreated forager",1,1,1,3
"1-H4","1","H8","control.big","treated nurse",1,1,1,3
"1-H5","1","H9","control.big","untreated nurse",1,1,1,3
"1-H6","1","H10","control.big","untreated nurse",1,1,1,3
"1-H7","1","H11","control.big","untreated forager",1,1,1,3
"1-H8","1","H12","control.big","untreated nurse",1,1,1,3
"1-H9","1","H3","control.big","untreated nurse",1,1,1,3
"11-A5","11","A6","control.small","untreated forager",0,1,1,2
"11-A6","11","A7","control.small","untreated forager",0,1,1,2
"11-A7","11","A8","control.small","untreated nurse",1,1,0,2
"11-B5","11","B6","control.small","untreated nurse",0,1,1,2
"11-D6","11","D7","control.small","untreated nurse",1,1,0,2
"11-F5","11","F6","control.small","untreated forager",0,1,1,2
"11-G6","11","G7","control.small","untreated nurse",1,1,0,2
"2-A1","2","A1","control.big","untreated nurse",0,1,1,2
"2-A2","2","A2","control.big","untreated nurse",1,1,1,3
"2-A6","2","A6","control.big","untreated nurse",1,1,1,3
"2-B1","2","B1","control.big","treated nurse",0,1,1,2
"2-B3","2","B3","control.big","untreated forager",0,1,1,2
"2-B4","2","B4","control.big","untreated forager",0,1,1,2
"2-B6","2","B6","control.big","untreated forager",0,1,1,2
"2-C2","2","C2","control.big","untreated nurse",1,1,0,2
"2-C3","2","C3","control.big","untreated nurse",1,1,0,2
"2-C5","2","C5","control.big","untreated nurse",1,1,1,3
"2-D2","2","D2","control.big","untreated nurse",0,1,1,2
"2-D4","2","D4","control.big","untreated nurse",1,1,1,3
"2-D5","2","D5","control.big","untreated nurse",1,1,0,2
"2-E3","2","E3","control.big","untreated forager",1,1,1,3
"2-E4","2","E4","control.big","treated nurse",1,1,1,3
"2-E5","2","E5","control.big","treated nurse",1,1,1,3
"2-E6","2","E6","control.big","untreated nurse",1,1,0,2
"2-F1","2","F1","control.big","untreated nurse",1,1,1,3
"2-F4","2","F4","control.big","untreated nurse",1,1,1,3
"2-G4","2","G4","control.big","untreated nurse",1,1,1,3
"2-G5","2","G5","control.big","untreated nurse",1,1,0,2
"2-G6","2","G6","control.big","untreated nurse",0,1,1,2
"2-H2","2","H2","control.big","untreated nurse",0,1,1,2
"2-H4","2","H4","control.big","untreated nurse",1,1,1,3
"2-H5","2","H5","control.big","untreated nurse",1,1,1,3
