"Colony","antID","qPCR_Well.","Ct1","Ct2","Code","MbruDNA","Treatment","size_treat","status","prop_time_outside","colony_size","Exposed","IsAlive","IsQueen","N_exposed","box","colony","task_group","treatment","Ct_mean","above_detection_threshold","Ant_status"
"R10BP",13,"  D2 ",32.565,NA,"42-A7",0.00769771,"Big Pathogen","BP","Big",0,186,"untreated",TRUE,TRUE,17,"karla","colony10BP","queen","pathogen.big",32.565,"T","untreated queen"
"R11BP",1,"  E2 ",32.975,NA,"47-A3",0.00589349,"Big Pathogen","BP","Big",0,176,"untreated",TRUE,TRUE,17,"leamas","colony11BP","queen","pathogen.big",32.975,"T","untreated queen"
"R11SP",1,"A7",29.17,29.16,"49-A3",0.05885867754361,"Small Pathogen","SP","Small",0,34,"untreated",TRUE,TRUE,3,"polyakov","colony11SP","queen","pathogen.small",29.165,"T","untreated queen"
"R11SP",2,"D9",31.66,31.61,"49-D5",0.012227833034476,"Small Pathogen","SP","Small",0.027,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",31.635,"T","untreated forager"
"R11SP",3,"B7",31.19,31.68,"49-B3",0.013887034038414,"Small Pathogen","SP","Small",0.005,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",31.435,"T","untreated nurse"
"R11SP",4,"E9",30.17,30.89,"49-E5",0.024697955284276,"Small Pathogen","SP","Small",0.014,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",30.53,"T","untreated nurse"
"R11SP",5,"E8",29.71,30.04,"49-E4",0.037466014770507,"Small Pathogen","SP","Small",0.002,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",29.875,"T","untreated nurse"
"R11SP",6,"C9",31.74,33.35,"49-C5",0.006853564431417,"Small Pathogen","SP","Small",0.067,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",32.545,"T","untreated forager"
"R11SP",7,"F9",25.96,26.69,"49-F5",0.358511012025895,"Small Pathogen","SP","Small",0,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",26.325,"T","untreated nurse"
"R11SP",9,"F8",29.47,29.96,"49-F4",0.041480644923866,"Small Pathogen","SP","Small",0,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",29.715,"T","untreated nurse"
"R11SP",11,"H6",33.81,33.48,"49-H2",0.003403976083114,"Small Pathogen","SP","Small",0.545,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",33.645,"T","untreated forager"
"R11SP",12,"C6",26.38,27.43,"49-C2",0.247884002533186,"Small Pathogen","SP","Small",0.094,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",26.905,"T","untreated forager"
"R11SP",13,"F5",30.84,31.1,"49-F1",0.018667622073547,"Small Pathogen","SP","Small",0,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",30.97,"T","untreated nurse"
"R11SP",14,"E7",33.67,33.28,"49-E3",0.003792778670761,"Small Pathogen","SP","Small",0.222,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",33.475,"T","untreated forager"
"R11SP",15,"G8",30.4,31.39,"49-G4",0.019579946463574,"Small Pathogen","SP","Small",0.017,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",30.895,"T","untreated nurse"
"R11SP",17,"F7",32.57,32.42,"49-F3",0.007075082363513,"Small Pathogen","SP","Small",0.004,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",32.495,"T","untreated nurse"
"R11SP",18,"H7",31.21,31.95,"49-H3",0.0126632738843,"Small Pathogen","SP","Small",0.001,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",31.58,"T","untreated nurse"
"R11SP",19,"H6",22.98,NA,"49-B4",2.06460036602991,"Small Pathogen","SP","Small",0.004,34,"treated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",22.98,"T","treated nurse"
"R11SP",20,"F6",33.38,33.64,"49-F2",0.003709257641013,"Small Pathogen","SP","Small",0.883,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",33.51,"T","untreated forager"
"R11SP",21,"E6",33.74,34.86,"49-E2",0.002243933591668,"Small Pathogen","SP","Small",0.335,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",34.3,"T","untreated forager"
"R11SP",22,"G5",31.86,32.78,"49-G1",0.007908315735956,"Small Pathogen","SP","Small",0.002,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",32.32,"T","untreated nurse"
"R11SP",23,"C8",23.94,24.3,"49-C4",1.45795459841304,"Small Pathogen","SP","Small",0.001,34,"treated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",24.12,"T","treated nurse"
"R11SP",24,"G7",31.4,31.59,"49-G3",0.01336692465247,"Small Pathogen","SP","Small",0.001,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",31.495,"T","untreated nurse"
"R11SP",25,"D7",34.15,34.34,"49-D3",0.002323841482735,"Small Pathogen","SP","Small",0.22,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",34.245,"T","untreated forager"
"R11SP",26,"B6",35.42,34.41,"49-B2",0.001517349060122,"Small Pathogen","SP","Small",0.035,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",34.915,"T","untreated forager"
"R11SP",27,"G9",31.66,32.56,"49-G5",0.009038721392404,"Small Pathogen","SP","Small",0.002,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",32.11,"T","untreated nurse"
"R11SP",28,"D6",32.74,32.82,"49-D2",0.005901820546436,"Small Pathogen","SP","Small",0.282,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",32.78,"T","untreated forager"
"R11SP",29,"B9",22.42,22.92,"49-B5",3.66757496873477,"Small Pathogen","SP","Small",0.006,34,"treated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",22.67,"T","treated nurse"
"R11SP",30,"D8",32.24,32.79,"49-D4",0.006985628727292,"Small Pathogen","SP","Small",0.011,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",32.515,"T","untreated nurse"
"R11SP",31,"A8",25.71,25.92,"49-A4",0.495924426766039,"Small Pathogen","SP","Small",0.017,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",25.815,"T","untreated nurse"
"R11SP",32,"H5",30.69,31.51,"49-H1",0.017185809759293,"Small Pathogen","SP","Small",0.798,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","forager","pathogen.small",31.1,"T","untreated forager"
"R11SP",33,"H8",31.72,32.1,"49-H4",0.010265190184242,"Small Pathogen","SP","Small",0.012,34,"untreated",TRUE,FALSE,3,"polyakov","colony11SP","nurse","pathogen.small",31.91,"T","untreated nurse"
